nama_penulis,rating,teks_ulasan,waktu,likes
farra shaesha,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaapo dann baikk banget dikasihh free giftt dan diskon juga, thank youuu🙏🏻🙏🏻🙏🏻",10 months ago,0
Yehezkiel Samudrananda,5.0,"pelayanan sangat baik, diberikan opsi untuk unit yg sama dengan yg dicari dengan perbandingan yg jelas. offline store juga nyaman dan posisi strategis. sangat recommended utk yg cari laptop 🤙🏻",5 months ago,0
Akita Rheanita,5.0,"good place, barangnya bagus2 pol",a month ago,0
Deva Rivaldy,5.0,"Sangat recomended buat jual/beli laptop, khususnya area sleman dan sekitarnya. Pelayanannya baik dan ramah.",2 weeks ago,0
Yasinta Astrid Susanti,5.0,"thankyou hero computer😊 pelayanan ramah, detail, dan worth it for unitnya 🙏🏻",3 months ago,0
Amri Abdil Wahab,5.0,"Pelayanan bagus, pas banget nyari laptop yang di pengen, dan lagi dalam perjalanan menuju toko",2 months ago,0
Nashrul Aziz,5.0,"Pelayanan premium seperti barang²nya.

mantaps, banyak diskon, dicek didepan mata pembeli dan semua barangnya oke, mulus dan lulus semua 🤩",3 months ago,0
- Aril,5.0,Mantap lah pokoknya,2 months ago,0
Salman Ridho,5.0,"Tempat jual beli laptop second hand bagus.. Offline storenya nyaman, ber-AC. Pelayanannya pun bagus. Alhamdulillah dapat good deal juga.",a month ago,0
Lilih Umbara,5.0,"Laptopnya, bergaransi dan terkurasi dengan baik.",a month ago,0
Aditya Pratama,5.0,Kalo butuh laptop second langsung ke Hero Computer saja kawan 👍,a week ago,0
Belva rifa Jafier,5.0,mantapp laptop gaming di harga miring a1 no debat💯💯💯,a month ago,0
Radhitya Ivan,5.0,"Pelayanan sangat ramah bagi yang nyari laptop rekomendasi bgt nih, detail ketika menjelaskan laptop sesuai kebutuhan saya",7 months ago,0
Muhammad Aprian,5.0,"Pelayanan sangat oke,tempat bersih
dan dapat potongan harga lagi🫵🏻 pokoknya best",6 months ago,0
Suci Purnamasari,5.0,"Pelayanan memuaskan serta sangat informatif
Barang barang sangat bagus",6 months ago,0
Kamado Tanjiro,5.0,"Tempat rekomendasi untuk jual atau cari laptop second dijogja,, pelayanan ramah, detail ketika menjelaskan laptop sesuai dengan kebutuhan yang kita cari😁",7 months ago,0
FIM 77,5.0,"Cari second laptop paling sip disini, lengkap banyak pilihan, harga menarik",4 months ago,0
Fitri NP,5.0,"Tempat cari gadget recomended banget, khusunya laptop. Aku cari laptop second disini, dibantu kasih rekomendasi sama mas mas pegawainya. Pelayanan super ramah, dan sangat membantu menentukan pilihan.
Harganya sangat bersaing dibanding toko lain, kalau cari yang garasi resmi masih on juga ada. Pokoknya disini siapa cepat dia dapat, baeang incaran cepat sekali terjualnya
Terthe best lah",3 years ago,0
AYU NINGRUM,5.0,"Tempat nya adem, pilihan banyak, mas e ramah, BISA NEGO 🤩",3 months ago,0
Haidar Shiddiq,5.0,"harga terjangkau diskon banyakk, pelayanan ramahh",3 months ago,0
MUHAMMAD WAHID NASHRULLOH,5.0,bagus deh buat yang lagi nyari laptop second murah di jogja recommend banget,5 days ago,0
Eniek Nawarsih,5.0,"pelayanan ramah, laptop murah berkualitas",6 months ago,0
Rahmatika Marsaoli,5.0,"Untuk kakak-kakak yang jualnya baik dan informatif sekali, tempat nyaman dan sejuk🌻",5 months ago,0
isyi,5.0,"servis okeee, barang bagus mulus. mantaplah 👍🏻👍🏻👍🏻",3 weeks ago,0
Daniel Alfarizqi,5.0,"pelayanan baik dan ramah, tempatnya bagus & nyaman, modelnya banyak, dapat bonus✨",a month ago,0
Rifki,5.0,"Gudangnya laptop bekas berkualitas rasa baru. Adminnya ramah banget, ada garansi juga. Pilihan laptopnya juga banyak. Gudangnya laptop spek dewa harga murah. Pokoknya rekomended banget. Saya kesini, adminnya sampai beliin es jeruk saking ramahnya. Keren deh.",a year ago,0
Reyhan Sty,5.0,Cari laptop murah kualitas premium!,a month ago,0
Nining Rahmala,5.0,"Pelayanannya ramah,, tempatnya nyaman, tokonya amanah, tempat jual laptop second Ter rekomended",2 months ago,0
Hendra Hendrawan,5.0,Jauh jauh ke sini dari Ponorogo Alhamdulillah dapat barang sesuai yang diinginkan dengan budget yang sesuai,4 months ago,0
Yusuf Rahmatullah,5.0,"Unit mantap, like new, pegawai ramah...",4 months ago,0
faisal adnan,5.0,Balik lagi ke hero buat beli laptop incaran ternyata sudah laku wkwk. Alhamdulillah dapet laptop lain di harga yang cukup mirip dengan sebelumnya.👍👍,2 months ago,0
Bagas Fawaz D,5.0,"pelayanan ramah, barang sesuai yang di inginkan, recommended",3 weeks ago,0
Well Dude,5.0,"Good service, laptopnya like new, dapet bonus jugaaa 10/10",6 months ago,0
Aqsha Laorens Umami,5.0,"pilihan laptop terpercaya, bagus, dan pastinya juga original serta pemakaian bisa jangka panjang. Jangan lupa berbelanja disini guys.",3 months ago,0
Dinda Ajeng Prastika,5.0,"Jual beli laptop bekas tapi kualitas berkelas 👍🏻. Beli laptop masih garansi officialnya 2 tahun, abis tu dapet potongan 100rb/new mouse. Masnya juga ramah dan membantu banget",a year ago,0
Ali Suranto,5.0,"pelayanannya ramaah, dibantu buat cek cek sepesifikasi dan pertanyaan pertanyaan di jawab dengan baik",6 months ago,0
Manyus Mariyanto (Rian),5.0,"Bagus pelayanan nya,, buat kita yg awam dibantu penjelasan spek laptop nya 🔥",2 months ago,0
Thofa Jr,5.0,"Laptopnya kualitasnya ok
Beberapa transaksi disini tidak pernah bermasalah",4 months ago,0
Muhammad Fariz,5.0,"Tempat cari laptop second recommended.
Pelayanannya ramah, tempat nyaman. Lengkap sekali laptop dari range harga berapapun ada.",3 months ago,0
Heni Listya,5.0,"Bagus, pelayanan ramah recommend untuk yg mau cari laptop kerja maupun buat kuliah",2 months ago,0
Dean Asmara,5.0,"Nyaman, cepat, tertata, dan bisa cari spek laptop yg sesuai juga",a month ago,0
apti alimah,5.0,"Good place, banyak pilihan laptopnya , barangnya masih bagus, mas nya ramah jugaa",2 months ago,0
Soulbit Yoga,5.0,"Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop oke punya, mantap deh. Langsung beli 2 unit, tinggal makin dibanyakin stoknya ya, biar makin banyak pilihannya juga 👍",11 months ago,0
MUHAMMAD YUSUF RAHARDIAN,5.0,"Pelayanan terbaik, harga terbaik",a week ago,0
Annas Rizky Julyanto,5.0,"Kualitas barangnya bagus, rekomend untuk yang mau cari laptop second atau baru dan tempatnya nyaman",2 months ago,0
Muhammad Annur Rizal,5.0,ada nomor WA yang bisa dihubungi ga min hero computer? Takutnya banyak penipuan yg mengatasnamakan hero computer,2 months ago,0
Aldi Muhamad Rizqi,5.0,"Pelayanan mantap, barang berkualitas dan ada promo menariknya... bintang 5 pokoknya",10 months ago,0
Winda Dwi Lestari,5.0,"Tempat beli komputer second yang sangat recomended. Tersedia banyak pilihan laptop second tapi fisiknya masih sangat bagus, dan spesifikasi mantap generasi terbaru. Sukses terus hero.",a year ago,0
Muhammad Nur Prasetyo,5.0,Tokonya rekomended banget buat yg mau cari laptop gen baru & garansi resmi,a year ago,0
Ayu Listia Arifin,5.0,pelayanannya baikk kakanya ramah poll dan dapet diskonn juga😻🫰🏻,a month ago,0
Sigit Meliyanto,5.0,"Top, beli online , ga perlu cek barang langsung udah dijamin bagus pol..",2 weeks ago,0
Widi Setyawan,5.0,"Aman dan cukup lengkap, sekarang tempatnya lebih nyaman dan agak luas",6 days ago,0
Dona Setya Nuraini,5.0,"memuaskan, saya beli laptop disini, mas masnya informatif dan ramah",6 months ago,0
Stefan Dhev,5.0,"Toko tempat beli laptop bergaransi dan terpercaya, unit looks good, performa bagus, harga terjangkau untuk spek dikelas masing masing",2 months ago,0
Akul Gama,5.0,"Baru coba pertama kali, pilihannya laptopnya banyak. Semoga cocok biar jadi langganan kalau suruh cariin untuk kantor lagi",3 months ago,0
